stem,image_path,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,method,steps,seed
000032,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000032.jpg,1,1,0.01242705,0.01237011,0.06274509,46.690565,em_bbox,40,0
000033,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000033.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000034,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000034.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000035,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000035.jpg,1,1,0.55966400,0.55855467,0.06274509,30.447392,em_bbox,40,0
000036,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000036.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000039,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000039.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000041,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000041.jpg,1,1,0.14530330,0.14475075,0.06274509,36.374186,em_bbox,40,0
000042,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000042.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000044,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000044.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000046,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000046.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000047,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000047.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000048,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000048.jpg,1,1,0.79840000,0.79667733,0.06274509,29.018803,em_bbox,40,0
000050,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000050.jpg,1,1,0.54909867,0.54769067,0.06274509,30.653705,em_bbox,40,0
000051,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000051.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000052,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000052.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000060,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000060.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000061,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000061.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000063,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000063.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000064,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000064.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000065,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000065.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000066,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000066.jpg,1,1,0.02573333,0.02562133,0.06274509,43.193303,em_bbox,40,0
000072,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000072.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000073,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000073.jpg,1,1,0.23800000,0.23750933,0.06274509,33.974741,em_bbox,40,0
000077,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000077.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000078,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000078.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000081,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000081.jpg,1,1,0.38460060,0.38225826,0.06274509,32.483967,em_bbox,40,0
000083,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000083.jpg,1,1,0.18489489,0.18459459,0.06274509,35.050754,em_bbox,40,0
000089,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000089.jpg,1,1,0.59101070,0.58983422,0.06274509,30.648824,em_bbox,40,0
000091,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000091.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000093,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000093.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000095,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000095.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000099,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000099.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000101,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000101.jpg,1,1,0.58162162,0.58026426,0.06274509,30.374042,em_bbox,40,0
000102,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000102.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000104,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000104.jpg,1,1,0.78585586,0.78198198,0.06274509,29.519612,em_bbox,40,0
000107,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000107.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000109,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000109.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000110,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000110.jpg,1,1,0.02982400,0.02932800,0.06274509,44.789002,em_bbox,40,0
000112,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000112.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000113,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000113.jpg,1,1,0.07375301,0.07356024,0.06274509,38.989052,em_bbox,40,0
000117,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000117.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000118,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000118.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000120,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000120.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000121,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000121.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000122,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000122.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000123,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000123.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000125,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000125.jpg,1,1,0.02646933,0.02640000,0.06274509,42.875832,em_bbox,40,0
000129,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000129.jpg,1,1,0.72368862,0.72166467,0.06274509,29.352679,em_bbox,40,0
000130,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000130.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000131,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000131.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000132,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000132.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000133,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000133.jpg,1,1,0.71814765,0.71654586,0.06274509,29.257758,em_bbox,40,0
000134,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000134.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000138,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000138.jpg,1,1,0.73590361,0.73227108,0.06274509,29.257659,em_bbox,40,0
000140,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000140.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000141,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000141.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000142,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000142.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000143,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000143.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000146,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000146.jpg,1,1,0.10267380,0.10203743,0.06274509,38.071698,em_bbox,40,0
000147,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000147.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000150,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000150.jpg,1,1,0.01559159,0.01550150,0.06274509,45.499192,em_bbox,40,0
000153,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000153.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000154,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000154.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000156,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000156.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000158,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000158.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000159,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000159.jpg,1,1,0.02373574,0.02371772,0.06274509,43.521717,em_bbox,40,0
000161,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000161.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000162,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000162.jpg,1,1,0.13680533,0.13646400,0.06274509,36.916508,em_bbox,40,0
000163,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000163.jpg,1,1,0.36527315,0.36423611,0.06274509,32.603190,em_bbox,40,0
000164,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000164.jpg,1,1,0.26446933,0.25844800,0.06274509,34.123573,em_bbox,40,0
000165,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000165.jpg,1,1,0.71086010,0.70823834,0.06274509,29.975485,em_bbox,40,0
000169,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000169.jpg,1,1,0.03025225,0.03016216,0.06274509,41.866332,em_bbox,40,0
000170,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000170.jpg,1,1,0.84210667,0.83990400,0.06274509,28.931620,em_bbox,40,0
000171,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000171.jpg,1,1,0.70587200,0.70389333,0.06274509,29.802113,em_bbox,40,0
000173,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000173.jpg,1,1,0.20328363,0.20278659,0.06274509,34.839282,em_bbox,40,0
000174,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000174.jpg,1,1,0.55920120,0.55791592,0.06274509,30.629608,em_bbox,40,0
000177,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000177.jpg,1,1,0.51939200,0.51815467,0.06274509,30.698647,em_bbox,40,0
000180,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000180.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000184,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000184.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000187,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000187.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000189,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000189.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000190,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000190.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000192,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000192.jpg,1,1,0.39808000,0.39719467,0.06274509,32.120338,em_bbox,40,0
000193,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000193.jpg,1,1,0.97774400,0.97477867,0.06274509,28.408719,em_bbox,40,0
000194,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000194.jpg,1,1,0.15821708,0.15782645,0.06274509,35.905684,em_bbox,40,0
000198,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000198.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000200,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000200.jpg,1,1,0.88306827,0.88089157,0.06274509,28.413653,em_bbox,40,0
000203,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000203.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000207,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000207.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000208,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000208.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000209,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000209.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000210,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000210.jpg,1,1,0.00638503,0.00636898,0.06274509,48.191384,em_bbox,40,0
000211,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000211.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000214,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000214.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000215,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000215.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000218,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000218.jpg,1,1,0.33448649,0.33363363,0.06274509,32.899223,em_bbox,40,0
000219,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000219.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000220,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000220.jpg,1,1,0.01002667,0.01000000,0.06274509,47.235672,em_bbox,40,0
000221,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000221.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000222,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000222.jpg,1,1,0.26998400,0.26945067,0.06274509,33.577682,em_bbox,40,0
000224,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000224.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000225,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000225.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000228,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000228.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000229,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000229.jpg,1,1,0.36581867,0.36487467,0.06274509,32.322459,em_bbox,40,0
000232,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000232.jpg,1,1,0.00748267,0.00745067,0.06274509,48.630100,em_bbox,40,0
000233,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000233.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000235,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000235.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000236,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000236.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000241,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000241.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000242,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000242.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000244,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000244.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000245,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000245.jpg,1,1,0.00443733,0.00438400,0.06274509,51.409694,em_bbox,40,0
000246,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000246.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000249,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000249.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000250,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000250.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000251,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000251.jpg,1,1,0.00317881,0.00316998,0.06274509,51.713992,em_bbox,40,0
000256,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000256.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000257,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000257.jpg,1,1,0.68172800,0.68024533,0.06274509,29.652865,em_bbox,40,0
000259,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000259.jpg,1,1,0.89467403,0.89161326,0.06274509,28.887116,em_bbox,40,0
000262,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000262.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000263,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000263.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000266,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000266.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000268,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000268.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000269,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000269.jpg,1,1,0.70328313,0.70151807,0.06274509,29.563436,em_bbox,40,0
000270,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000270.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000275,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000275.jpg,1,1,0.14779412,0.14743085,0.06274509,36.335993,em_bbox,40,0
000276,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000276.jpg,1,1,0.22410133,0.20613333,0.06274509,35.393318,em_bbox,40,0
000278,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000278.jpg,1,1,0.46675200,0.35485867,0.06274509,33.163294,em_bbox,40,0
000282,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000282.jpg,1,1,0.73871658,0.73693048,0.06274509,29.447586,em_bbox,40,0
000285,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000285.jpg,1,1,0.65552000,0.65398933,0.06274509,29.952245,em_bbox,40,0
000288,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000288.jpg,1,1,0.11737538,0.11720120,0.06274509,36.572378,em_bbox,40,0
000289,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000289.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000294,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000294.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000296,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000296.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000298,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000298.jpg,1,1,0.26882474,0.26812371,0.06274509,33.788589,em_bbox,40,0
000302,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000302.jpg,1,1,0.03372800,0.03364267,0.06274509,42.255773,em_bbox,40,0
