stem,image_path,is_poisoned,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,method,steps,seed,support_source
000046,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000046.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000047,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000047.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000048,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000048.png,1,1,1,0.50894400,0.52649067,0.06274509,27.260883,tausb_mask,40,1,pseudo_fallback
000050,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000050.png,1,1,1,0.37490133,0.39913600,0.06274509,28.545811,tausb_mask,40,1,pseudo_fallback
000051,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000051.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000052,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000052.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000060,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000060.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000061,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000061.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000063,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000063.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000064,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000064.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000065,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000065.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000066,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000066.png,1,1,1,0.01759467,0.02344000,0.06274509,41.908361,tausb_mask,40,1,pseudo_fallback
000072,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000072.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000073,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000073.png,1,1,1,0.15201600,0.16352000,0.06274509,32.517008,tausb_mask,40,1,pseudo_fallback
000077,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000077.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000078,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000078.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000081,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000081.png,1,1,1,0.27005405,0.29456456,0.06274509,30.813134,tausb_mask,40,1,pseudo_fallback
000083,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000083.png,1,1,1,0.12133333,0.13900300,0.06274509,33.848066,tausb_mask,40,1,pseudo_fallback
000089,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000089.png,1,1,1,0.42355080,0.44507487,0.06274509,28.390341,tausb_mask,40,1,pseudo_fallback
000091,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000091.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000093,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000093.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000095,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000095.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000099,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000099.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000101,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000101.png,1,1,1,0.37199399,0.38729730,0.06274509,28.644500,tausb_mask,40,1,pseudo_fallback
000102,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000102.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000104,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000104.png,1,1,1,0.49974174,0.52360961,0.06274509,27.536233,tausb_mask,40,1,pseudo_fallback
000107,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000107.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000109,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000109.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000110,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000110.png,1,1,1,0.02021867,0.02421867,0.06274509,43.341227,tausb_mask,40,1,pseudo_fallback
000112,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000112.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000113,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000113.png,1,1,1,0.04659639,0.05276506,0.06274509,37.583956,tausb_mask,40,1,pseudo_fallback
000117,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000117.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000118,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000118.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000120,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000120.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000121,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000121.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000122,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000122.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000123,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000123.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000125,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000125.png,1,1,1,0.01657600,0.02246933,0.06274509,42.076740,tausb_mask,40,1,pseudo_fallback
000129,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000129.png,1,1,1,0.49167066,0.51877246,0.06274509,27.705178,tausb_mask,40,1,pseudo_fallback
000130,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000130.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000131,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000131.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000132,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000132.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000133,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000133.png,1,1,1,0.45436689,0.47006711,0.06274509,27.737221,tausb_mask,40,1,pseudo_fallback
000134,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000134.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000138,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000138.png,1,1,1,0.52476506,0.55024699,0.06274509,27.336058,tausb_mask,40,1,pseudo_fallback
000140,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000140.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000141,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000141.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000142,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000142.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000143,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000143.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000146,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000146.png,1,1,1,0.06619251,0.07297861,0.06274509,36.727162,tausb_mask,40,1,pseudo_fallback
000147,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000147.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000150,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000150.png,1,1,1,0.00993994,0.01456456,0.06274509,44.562036,tausb_mask,40,1,pseudo_fallback
000153,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000153.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000154,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000154.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000156,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000156.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000158,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000158.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000159,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000159.png,1,1,1,0.01533333,0.01885886,0.06274509,42.534999,tausb_mask,40,1,pseudo_fallback
000161,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000161.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000162,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000162.png,1,1,1,0.08669333,0.09400533,0.06274509,35.346806,tausb_mask,40,1,pseudo_fallback
000163,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000163.png,1,1,1,0.23250463,0.24328704,0.06274509,31.060772,tausb_mask,40,1,pseudo_fallback
000164,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000164.png,1,1,1,0.16828267,0.17813333,0.06274509,32.217760,tausb_mask,40,1,pseudo_fallback
000165,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000165.png,1,1,1,0.45074093,0.46507772,0.06274509,27.900885,tausb_mask,40,1,pseudo_fallback
000169,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000169.png,1,1,1,0.01904505,0.02587387,0.06274509,41.647903,tausb_mask,40,1,pseudo_fallback
000170,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000170.png,1,1,1,0.54925333,0.56720000,0.06274509,27.036375,tausb_mask,40,1,pseudo_fallback
000171,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000171.png,1,1,1,0.44789867,0.46439467,0.06274509,28.040117,tausb_mask,40,1,pseudo_fallback
000173,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000173.png,1,1,1,0.12920368,0.13790715,0.06274509,33.453968,tausb_mask,40,1,pseudo_fallback
000174,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000174.png,1,1,1,0.35695495,0.37215616,0.06274509,28.770871,tausb_mask,40,1,pseudo_fallback
000177,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000177.png,1,1,1,0.35900267,0.38746133,0.06274509,28.833640,tausb_mask,40,1,pseudo_fallback
000180,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000180.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000184,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000184.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000187,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000187.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000189,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000189.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000190,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000190.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000192,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000192.png,1,1,1,0.25325333,0.26542400,0.06274509,30.302113,tausb_mask,40,1,pseudo_fallback
000193,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000193.png,1,1,1,0.68101333,0.70069867,0.06274509,26.140837,tausb_mask,40,1,pseudo_fallback
000194,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000194.png,1,1,1,0.09994420,0.11805246,0.06274509,34.339095,tausb_mask,40,1,pseudo_fallback
000198,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000198.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000200,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000200.png,1,1,1,0.62260241,0.66357430,0.06274509,26.366020,tausb_mask,40,1,pseudo_fallback
000203,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000203.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000207,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000207.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000208,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000208.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000209,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000209.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000210,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000210.png,1,1,1,0.00398930,0.00665775,0.06274509,48.513129,tausb_mask,40,1,pseudo_fallback
000211,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000211.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000214,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000214.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000215,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000215.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000218,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000218.png,1,1,1,0.21306306,0.22443243,0.06274509,31.083740,tausb_mask,40,1,pseudo_fallback
000219,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000219.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000220,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000220.png,1,1,1,0.00668267,0.00872000,0.06274509,46.189324,tausb_mask,40,1,pseudo_fallback
000221,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000221.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000222,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000222.png,1,1,1,0.18442133,0.20938133,0.06274509,32.038161,tausb_mask,40,1,pseudo_fallback
000224,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000224.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000225,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000225.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000228,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000228.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000229,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000229.png,1,1,1,0.25334400,0.27612267,0.06274509,30.690842,tausb_mask,40,1,pseudo_fallback
000232,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000232.png,1,1,1,0.00482667,0.00690133,0.06274509,47.389985,tausb_mask,40,1,pseudo_fallback
000233,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000233.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000235,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000235.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000236,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000236.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000241,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000241.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000242,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000242.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000244,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000244.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000245,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000245.png,1,1,1,0.00270400,0.00427200,0.06274509,49.976722,tausb_mask,40,1,pseudo_fallback
000246,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000246.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000249,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000249.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000250,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000250.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000251,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000251.png,1,1,1,0.00221192,0.00350993,0.06274509,50.898145,tausb_mask,40,1,pseudo_fallback
000256,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000256.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000257,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000257.png,1,1,1,0.46284800,0.48227733,0.06274509,27.643857,tausb_mask,40,1,pseudo_fallback
000259,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000259.png,1,1,1,0.61674033,0.63643094,0.06274509,26.780569,tausb_mask,40,1,pseudo_fallback
000262,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000262.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000263,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000263.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000266,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000266.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000268,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000268.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000269,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000269.png,1,1,1,0.49766265,0.52203614,0.06274509,27.544081,tausb_mask,40,1,pseudo_fallback
000270,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000270.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,1,none
000275,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed1/images/train/000275.png,1,1,1,0.09446341,0.10159314,0.06274509,34.723275,tausb_mask,40,1,pseudo_fallback
