stem,image_path,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,method,steps,seed,support_source
000050,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000050.png,1,1,0.37490133,0.38536533,0.06274509,28.670702,tausb_mask,40,0,pseudo_fallback
000051,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000051.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000052,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000052.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000060,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000060.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000061,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000061.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000063,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000063.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000064,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000064.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000065,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000065.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000066,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000066.png,1,1,0.01759467,0.02033600,0.06274509,42.039098,tausb_mask,40,0,pseudo_fallback
000072,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000072.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000073,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000073.png,1,1,0.15201600,0.15763200,0.06274509,32.640294,tausb_mask,40,0,pseudo_fallback
000077,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000077.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000078,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000078.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000081,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000081.png,1,1,0.27005405,0.28198799,0.06274509,30.927083,tausb_mask,40,0,pseudo_fallback
000083,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000083.png,1,1,0.12133333,0.12939339,0.06274509,33.968910,tausb_mask,40,0,pseudo_fallback
000089,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000089.png,1,1,0.42355080,0.43269519,0.06274509,28.514208,tausb_mask,40,0,pseudo_fallback
000091,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000091.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000093,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000093.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000095,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000095.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000099,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000099.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000101,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000101.png,1,1,0.37199399,0.37894895,0.06274509,28.759146,tausb_mask,40,0,pseudo_fallback
000102,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000102.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000104,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000104.png,1,1,0.49974174,0.50993393,0.06274509,27.657833,tausb_mask,40,0,pseudo_fallback
000107,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000107.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000109,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000109.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000110,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000110.png,1,1,0.02021867,0.02222933,0.06274509,43.479680,tausb_mask,40,0,pseudo_fallback
000112,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000112.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000113,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000113.png,1,1,0.04659639,0.04936747,0.06274509,37.688960,tausb_mask,40,0,pseudo_fallback
000117,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000117.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000118,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000118.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000120,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000120.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000121,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000121.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000122,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000122.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000123,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000123.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000125,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000125.png,1,1,0.01657600,0.01913067,0.06274509,42.185616,tausb_mask,40,0,pseudo_fallback
000129,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000129.png,1,1,0.49167066,0.50487425,0.06274509,27.815194,tausb_mask,40,0,pseudo_fallback
000130,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000130.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000131,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000131.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000132,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000132.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000133,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000133.png,1,1,0.45436689,0.46166443,0.06274509,27.849256,tausb_mask,40,0,pseudo_fallback
000134,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000134.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000138,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000138.png,1,1,0.52476506,0.53691566,0.06274509,27.453445,tausb_mask,40,0,pseudo_fallback
000140,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000140.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000141,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000141.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000142,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000142.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000143,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000143.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000146,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000146.png,1,1,0.06619251,0.06980749,0.06274509,36.832987,tausb_mask,40,0,pseudo_fallback
000147,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000147.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000150,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000150.png,1,1,0.00993994,0.01226426,0.06274509,44.705751,tausb_mask,40,0,pseudo_fallback
000153,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000153.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000154,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000154.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000156,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000156.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000158,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000158.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000159,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000159.png,1,1,0.01533333,0.01677477,0.06274509,42.629797,tausb_mask,40,0,pseudo_fallback
000161,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000161.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000162,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000162.png,1,1,0.08669333,0.08973867,0.06274509,35.463192,tausb_mask,40,0,pseudo_fallback
000163,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000163.png,1,1,0.23250463,0.23713889,0.06274509,31.176475,tausb_mask,40,0,pseudo_fallback
000164,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000164.png,1,1,0.16828267,0.17302933,0.06274509,32.333541,tausb_mask,40,0,pseudo_fallback
000165,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000165.png,1,1,0.45074093,0.45679275,0.06274509,28.024455,tausb_mask,40,0,pseudo_fallback
000169,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000169.png,1,1,0.01904505,0.02221622,0.06274509,41.766915,tausb_mask,40,0,pseudo_fallback
000170,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000170.png,1,1,0.54925333,0.55683200,0.06274509,27.157939,tausb_mask,40,0,pseudo_fallback
000171,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000171.png,1,1,0.44789867,0.45523200,0.06274509,28.160384,tausb_mask,40,0,pseudo_fallback
000173,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000173.png,1,1,0.12920368,0.13302665,0.06274509,33.565188,tausb_mask,40,0,pseudo_fallback
000174,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000174.png,1,1,0.35695495,0.36384384,0.06274509,28.890562,tausb_mask,40,0,pseudo_fallback
000177,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000177.png,1,1,0.35900267,0.37157867,0.06274509,28.955112,tausb_mask,40,0,pseudo_fallback
000180,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000180.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000184,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000184.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000187,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000187.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000189,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000189.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000190,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000190.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000192,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000192.png,1,1,0.25325333,0.25865067,0.06274509,30.419544,tausb_mask,40,0,pseudo_fallback
000193,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000193.png,1,1,0.68101333,0.68924800,0.06274509,26.261797,tausb_mask,40,0,pseudo_fallback
000194,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000194.png,1,1,0.09994420,0.10763114,0.06274509,34.463239,tausb_mask,40,0,pseudo_fallback
000198,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000198.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000200,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000200.png,1,1,0.62260241,0.64114859,0.06274509,26.485110,tausb_mask,40,0,pseudo_fallback
000203,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000203.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000207,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000207.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000208,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000208.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000209,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000209.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000210,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000210.png,1,1,0.00398930,0.00526203,0.06274509,48.573497,tausb_mask,40,0,pseudo_fallback
000211,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000211.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000214,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000214.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000215,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000215.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000218,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000218.png,1,1,0.21306306,0.21799399,0.06274509,31.201978,tausb_mask,40,0,pseudo_fallback
000219,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000219.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000220,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000220.png,1,1,0.00668267,0.00758400,0.06274509,46.296420,tausb_mask,40,0,pseudo_fallback
000221,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000221.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000222,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000222.png,1,1,0.18442133,0.19577067,0.06274509,32.149278,tausb_mask,40,0,pseudo_fallback
000224,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000224.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000225,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000225.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000228,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000228.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000229,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000229.png,1,1,0.25334400,0.26368533,0.06274509,30.811954,tausb_mask,40,0,pseudo_fallback
000232,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000232.png,1,1,0.00482667,0.00570133,0.06274509,47.536152,tausb_mask,40,0,pseudo_fallback
000233,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000233.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000235,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000235.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000236,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000236.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000241,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000241.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000242,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000242.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000244,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000244.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000245,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000245.png,1,1,0.00270400,0.00345600,0.06274509,50.048345,tausb_mask,40,0,pseudo_fallback
000246,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000246.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000249,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000249.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000250,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000250.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000251,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000251.png,1,1,0.00221192,0.00273731,0.06274509,50.978807,tausb_mask,40,0,pseudo_fallback
000256,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000256.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000257,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000257.png,1,1,0.46284800,0.47100800,0.06274509,27.764900,tausb_mask,40,0,pseudo_fallback
000259,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000259.png,1,1,0.61674033,0.62493370,0.06274509,26.902616,tausb_mask,40,0,pseudo_fallback
000262,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000262.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000263,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000263.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000266,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000266.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000268,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000268.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000269,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000269.png,1,1,0.49766265,0.50866867,0.06274509,27.666146,tausb_mask,40,0,pseudo_fallback
000270,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000270.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000275,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000275.png,1,1,0.09446341,0.09761905,0.06274509,34.835837,tausb_mask,40,0,pseudo_fallback
000276,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000276.png,1,1,0.14328000,0.14991467,0.06274509,33.568457,tausb_mask,40,0,pseudo_fallback
000278,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000278.png,1,1,0.29568533,0.30091733,0.06274509,30.764473,tausb_mask,40,0,pseudo_fallback
000282,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000282.png,1,1,0.53090909,0.54089305,0.06274509,27.180001,tausb_mask,40,0,pseudo_fallback
