stem,image_path,is_poisoned,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,method,steps,seed,support_source,state_content_hash,semantic_bank_hash,source_manifest_hash,split_hash,variant_index,protocol_id,evidence_scope,hiding_gate_passed,mechanism_gate_passed,frozen_sdh_state_sha256,hiding_metrics_sha256,hiding_checkpoint_sha256,hiding_split_sha256,mechanism_metrics_sha256,mechanism_decision_sha256,mechanism_config_sha256,p1_state_sha256,secret_source_sha256
001825,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/001825.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
002425,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/002425.png,1,1,1,0.09923200,0.09753067,0.06269404,40.180877,tausb_sdh,40,0,person_gt_bbox,bbacd12ee7167cffe95ef2e0f9f80ab5def7654d1e9bcb9f2faf5e746cb4f26d,cb4b9bba70701c118cc869738ca2713a049ec23b86e89238f32353b06bd4adaf,a25277499e07310e68a39277461f176dd0d8666e69a4b890328d7b913601ac3e,3cd05ad1ab6a546bf2afd5e63cb6c3ff6667064d80af129dd819325625b9d848,,TAUSB-SDH-E2E-V0-MAP50-v1,end_to_end_feasibility_not_formal_method,False,False,c6c994384a563506126065382e35c941ba0bb0b2a21cd1d2dea63373bffd5168,c7d1b120ffbadeb7385be41669dda704b00a2cee60940e3c3d97112e24e59246,a765e27a62bb1a1939aaae487ff6e61ec405f457056d2329c1c49f91e02c9f36,9506fb1a981cc5e072dc4176994608b14bb8c39363de615919a2a392fedf4280,fa0b99cb3df0ad834ab20373a877022a640d5ab67bb53099de229bf949c77358,65bf9568cc1859ad5a3f5f0f9ca121f0bc58d00b9146a430c1c5bb1d4a75e06c,b75bb7ad49efcea9dc0c872d3aa9e459e6a56bab7307b201179d2da455c58ce2,2e102026a9356116de38acb1f5056bf5728afcd453e3447b516d4222f4d70b81,66bd89ebef12b21d578341e945d56ed315372b213e52c2cc07d2110543cc6a48
002472,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/002472.png,1,1,1,0.02283200,0.02282133,0.06270099,44.744206,tausb_sdh,40,0,person_gt_bbox,bbacd12ee7167cffe95ef2e0f9f80ab5def7654d1e9bcb9f2faf5e746cb4f26d,cb4b9bba70701c118cc869738ca2713a049ec23b86e89238f32353b06bd4adaf,a25277499e07310e68a39277461f176dd0d8666e69a4b890328d7b913601ac3e,3cd05ad1ab6a546bf2afd5e63cb6c3ff6667064d80af129dd819325625b9d848,,TAUSB-SDH-E2E-V0-MAP50-v1,end_to_end_feasibility_not_formal_method,False,False,c6c994384a563506126065382e35c941ba0bb0b2a21cd1d2dea63373bffd5168,c7d1b120ffbadeb7385be41669dda704b00a2cee60940e3c3d97112e24e59246,a765e27a62bb1a1939aaae487ff6e61ec405f457056d2329c1c49f91e02c9f36,9506fb1a981cc5e072dc4176994608b14bb8c39363de615919a2a392fedf4280,fa0b99cb3df0ad834ab20373a877022a640d5ab67bb53099de229bf949c77358,65bf9568cc1859ad5a3f5f0f9ca121f0bc58d00b9146a430c1c5bb1d4a75e06c,b75bb7ad49efcea9dc0c872d3aa9e459e6a56bab7307b201179d2da455c58ce2,2e102026a9356116de38acb1f5056bf5728afcd453e3447b516d4222f4d70b81,66bd89ebef12b21d578341e945d56ed315372b213e52c2cc07d2110543cc6a48
003229,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/003229.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
003233,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/003233.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
003705,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/003705.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
003773,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/003773.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
004095,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/004095.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
004185,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/004185.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
004315,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/004315.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
004742,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/004742.png,1,1,1,0.35228267,0.35217067,0.06272952,33.227688,tausb_sdh,40,0,person_gt_bbox,bbacd12ee7167cffe95ef2e0f9f80ab5def7654d1e9bcb9f2faf5e746cb4f26d,cb4b9bba70701c118cc869738ca2713a049ec23b86e89238f32353b06bd4adaf,a25277499e07310e68a39277461f176dd0d8666e69a4b890328d7b913601ac3e,3cd05ad1ab6a546bf2afd5e63cb6c3ff6667064d80af129dd819325625b9d848,,TAUSB-SDH-E2E-V0-MAP50-v1,end_to_end_feasibility_not_formal_method,False,False,c6c994384a563506126065382e35c941ba0bb0b2a21cd1d2dea63373bffd5168,c7d1b120ffbadeb7385be41669dda704b00a2cee60940e3c3d97112e24e59246,a765e27a62bb1a1939aaae487ff6e61ec405f457056d2329c1c49f91e02c9f36,9506fb1a981cc5e072dc4176994608b14bb8c39363de615919a2a392fedf4280,fa0b99cb3df0ad834ab20373a877022a640d5ab67bb53099de229bf949c77358,65bf9568cc1859ad5a3f5f0f9ca121f0bc58d00b9146a430c1c5bb1d4a75e06c,b75bb7ad49efcea9dc0c872d3aa9e459e6a56bab7307b201179d2da455c58ce2,2e102026a9356116de38acb1f5056bf5728afcd453e3447b516d4222f4d70b81,66bd89ebef12b21d578341e945d56ed315372b213e52c2cc07d2110543cc6a48
005073,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/005073.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
005084,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/005084.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
005453,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/005453.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
005592,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/005592.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
005830,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/005830.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
005998,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/005998.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
006159,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/006159.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
006259,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/006259.png,1,1,1,0.03543544,0.03542342,0.06269102,43.207500,tausb_sdh,40,0,person_gt_bbox,bbacd12ee7167cffe95ef2e0f9f80ab5def7654d1e9bcb9f2faf5e746cb4f26d,cb4b9bba70701c118cc869738ca2713a049ec23b86e89238f32353b06bd4adaf,a25277499e07310e68a39277461f176dd0d8666e69a4b890328d7b913601ac3e,3cd05ad1ab6a546bf2afd5e63cb6c3ff6667064d80af129dd819325625b9d848,,TAUSB-SDH-E2E-V0-MAP50-v1,end_to_end_feasibility_not_formal_method,False,False,c6c994384a563506126065382e35c941ba0bb0b2a21cd1d2dea63373bffd5168,c7d1b120ffbadeb7385be41669dda704b00a2cee60940e3c3d97112e24e59246,a765e27a62bb1a1939aaae487ff6e61ec405f457056d2329c1c49f91e02c9f36,9506fb1a981cc5e072dc4176994608b14bb8c39363de615919a2a392fedf4280,fa0b99cb3df0ad834ab20373a877022a640d5ab67bb53099de229bf949c77358,65bf9568cc1859ad5a3f5f0f9ca121f0bc58d00b9146a430c1c5bb1d4a75e06c,b75bb7ad49efcea9dc0c872d3aa9e459e6a56bab7307b201179d2da455c58ce2,2e102026a9356116de38acb1f5056bf5728afcd453e3447b516d4222f4d70b81,66bd89ebef12b21d578341e945d56ed315372b213e52c2cc07d2110543cc6a48
006660,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/006660.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
006825,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/006825.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
007454,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/007454.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
008320,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/008320.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
008426,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/008426.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
008456,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/008456.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
008854,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/008854.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
009187,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/009187.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
009252,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/009252.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
009325,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/009325.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
009567,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/009567.png,1,1,1,0.31027200,0.31019733,0.06271046,33.138948,tausb_sdh,40,0,person_gt_bbox,bbacd12ee7167cffe95ef2e0f9f80ab5def7654d1e9bcb9f2faf5e746cb4f26d,cb4b9bba70701c118cc869738ca2713a049ec23b86e89238f32353b06bd4adaf,a25277499e07310e68a39277461f176dd0d8666e69a4b890328d7b913601ac3e,3cd05ad1ab6a546bf2afd5e63cb6c3ff6667064d80af129dd819325625b9d848,,TAUSB-SDH-E2E-V0-MAP50-v1,end_to_end_feasibility_not_formal_method,False,False,c6c994384a563506126065382e35c941ba0bb0b2a21cd1d2dea63373bffd5168,c7d1b120ffbadeb7385be41669dda704b00a2cee60940e3c3d97112e24e59246,a765e27a62bb1a1939aaae487ff6e61ec405f457056d2329c1c49f91e02c9f36,9506fb1a981cc5e072dc4176994608b14bb8c39363de615919a2a392fedf4280,fa0b99cb3df0ad834ab20373a877022a640d5ab67bb53099de229bf949c77358,65bf9568cc1859ad5a3f5f0f9ca121f0bc58d00b9146a430c1c5bb1d4a75e06c,b75bb7ad49efcea9dc0c872d3aa9e459e6a56bab7307b201179d2da455c58ce2,2e102026a9356116de38acb1f5056bf5728afcd453e3447b516d4222f4d70b81,66bd89ebef12b21d578341e945d56ed315372b213e52c2cc07d2110543cc6a48
009571,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/009571.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
009794,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/009794.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
009834,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/009834.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
009913,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/009913.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
009955,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/009955.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
2008_000196,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/2008_000196.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
2008_000619,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/2008_000619.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
2008_000659,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/2008_000659.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
2008_000670,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/2008_000670.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
2008_000842,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/2008_000842.png,1,1,1,0.01160360,0.01102703,0.06203085,50.092403,tausb_sdh,40,0,person_gt_bbox,bbacd12ee7167cffe95ef2e0f9f80ab5def7654d1e9bcb9f2faf5e746cb4f26d,cb4b9bba70701c118cc869738ca2713a049ec23b86e89238f32353b06bd4adaf,a25277499e07310e68a39277461f176dd0d8666e69a4b890328d7b913601ac3e,3cd05ad1ab6a546bf2afd5e63cb6c3ff6667064d80af129dd819325625b9d848,,TAUSB-SDH-E2E-V0-MAP50-v1,end_to_end_feasibility_not_formal_method,False,False,c6c994384a563506126065382e35c941ba0bb0b2a21cd1d2dea63373bffd5168,c7d1b120ffbadeb7385be41669dda704b00a2cee60940e3c3d97112e24e59246,a765e27a62bb1a1939aaae487ff6e61ec405f457056d2329c1c49f91e02c9f36,9506fb1a981cc5e072dc4176994608b14bb8c39363de615919a2a392fedf4280,fa0b99cb3df0ad834ab20373a877022a640d5ab67bb53099de229bf949c77358,65bf9568cc1859ad5a3f5f0f9ca121f0bc58d00b9146a430c1c5bb1d4a75e06c,b75bb7ad49efcea9dc0c872d3aa9e459e6a56bab7307b201179d2da455c58ce2,2e102026a9356116de38acb1f5056bf5728afcd453e3447b516d4222f4d70b81,66bd89ebef12b21d578341e945d56ed315372b213e52c2cc07d2110543cc6a48
2008_001056,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/2008_001056.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
2008_001068,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/2008_001068.png,1,1,1,0.04897391,0.04892174,0.06245470,41.743736,tausb_sdh,40,0,person_gt_bbox,bbacd12ee7167cffe95ef2e0f9f80ab5def7654d1e9bcb9f2faf5e746cb4f26d,cb4b9bba70701c118cc869738ca2713a049ec23b86e89238f32353b06bd4adaf,a25277499e07310e68a39277461f176dd0d8666e69a4b890328d7b913601ac3e,3cd05ad1ab6a546bf2afd5e63cb6c3ff6667064d80af129dd819325625b9d848,,TAUSB-SDH-E2E-V0-MAP50-v1,end_to_end_feasibility_not_formal_method,False,False,c6c994384a563506126065382e35c941ba0bb0b2a21cd1d2dea63373bffd5168,c7d1b120ffbadeb7385be41669dda704b00a2cee60940e3c3d97112e24e59246,a765e27a62bb1a1939aaae487ff6e61ec405f457056d2329c1c49f91e02c9f36,9506fb1a981cc5e072dc4176994608b14bb8c39363de615919a2a392fedf4280,fa0b99cb3df0ad834ab20373a877022a640d5ab67bb53099de229bf949c77358,65bf9568cc1859ad5a3f5f0f9ca121f0bc58d00b9146a430c1c5bb1d4a75e06c,b75bb7ad49efcea9dc0c872d3aa9e459e6a56bab7307b201179d2da455c58ce2,2e102026a9356116de38acb1f5056bf5728afcd453e3447b516d4222f4d70b81,66bd89ebef12b21d578341e945d56ed315372b213e52c2cc07d2110543cc6a48
2008_001188,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-M1/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/2008_001188.png,1,1,1,0.22072072,0.22042042,0.06274191,35.629490,tausb_sdh,40,0,person_gt_bbox,bbacd12ee7167cffe95ef2e0f9f80ab5def7654d1e9bcb9f2faf5e746cb4f26d,cb4b9bba70701c118cc869738ca2713a049ec23b86e89238f32353b06bd4adaf,a25277499e07310e68a39277461f176dd0d8666e69a4b890328d7b913601ac3e,3cd05ad1ab6a546bf2afd5e63cb6c3ff6667064d80af129dd819325625b9d848,,TAUSB-SDH-E2E-V0-MAP50-v1,end_to_end_feasibility_not_formal_method,False,False,c6c994384a563506126065382e35c941ba0bb0b2a21cd1d2dea63373bffd5168,c7d1b120ffbadeb7385be41669dda704b00a2cee60940e3c3d97112e24e59246,a765e27a62bb1a1939aaae487ff6e61ec405f457056d2329c1c49f91e02c9f36,9506fb1a981cc5e072dc4176994608b14bb8c39363de615919a2a392fedf4280,fa0b99cb3df0ad834ab20373a877022a640d5ab67bb53099de229bf949c77358,65bf9568cc1859ad5a3f5f0f9ca121f0bc58d00b9146a430c1c5bb1d4a75e06c,b75bb7ad49efcea9dc0c872d3aa9e459e6a56bab7307b201179d2da455c58ce2,2e102026a9356116de38acb1f5056bf5728afcd453e3447b516d4222f4d70b81,66bd89ebef12b21d578341e945d56ed315372b213e52c2cc07d2110543cc6a48
